$  tcpdump -i eth0

...(too long to paste entire output)
18:42:22.300140 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 154904:155076, ack 73, win 313, length 172
18:42:22.342798 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 189100:189272, ack 109, win 313, length 172
18:42:22.344660 IP 198.96.84.204.54548 > lampDropletComp3134W2020.ssh: Flags [.], ack 171116, win 4103, length 0
18:42:22.344715 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 189272:189444, ack 109, win 313, length 172
18:42:22.344734 IP 198.96.84.204.54548 > lampDropletComp3134W2020.ssh: Flags [.], ack 173008, win 4103, length 0
18:42:22.344748 IP 198.96.84.204.54548 > lampDropletComp3134W2020.ssh: Flags [.], ack 174900, win 4103, length 0
18:42:22.344761 IP 198.96.84.204.54548 > lampDropletComp3134W2020.ssh: Flags [.], ack 176964, win 4103, length 0
18:42:22.344772 IP 198.96.84.204.54548 > lampDropletComp3134W2020.ssh: Flags [.], ack 178796, win 4103, length 0
18:42:22.345071 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 189444:190184, ack 109, win 313, length 740
18:42:22.345187 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 190184:190356, ack 109, win 313, length 172
18:42:22.345288 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 190356:190528, ack 109, win 313, length 172
18:42:22.345384 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 190528:190700, ack 109, win 313, length 172
18:42:22.345495 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 190700:190872, ack 109, win 313, length 172
18:42:22.345590 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 190872:191044, ack 109, win 313, length 172
18:42:22.345682 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 191044:191216, ack 109, win 313, length 172
18:42:22.345804 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 191216:191388, ack 109, win 313, length 172
18:42:22.345976 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 191388:191560, ack 109, win 313, length 172
18:42:22.346140 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 191560:191732, ack 109, win 313, length 172
18:42:22.346289 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 191732:191904, ack 109, win 313, length 172
18:42:22.346396 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 191904:192076, ack 109, win 313, length 172
18:42:22.346489 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 192076:192248, ack 109, win 313, length 172
18:42:22.346579 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 192248:192420, ack 109, win 313, length 172
18:42:22.346672 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 192420:192592, ack 109, win 313, length 172
18:42:22.346762 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 192592:192764, ack 109, win 313, length 172
18:42:22.346852 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 192764:192936, ack 109, win 313, length 172
18:42:22.346979 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 192936:193108, ack 109, win 313, length 172
18:42:22.347157 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 193108:193280, ack 109, win 313, length 172
18:42:22.347324 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 193280:193452, ack 109, win 313, length 172
18:42:22.347505 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 193452:193624, ack 109, win 313, length 172
18:42:22.347665 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 193624:193796, ack 109, win 313, length 172
18:42:22.347832 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 193796:193968, ack 109, win 313, length 172
18:42:22.347989 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 193968:194140, ack 109, win 313, length 172
18:42:22.348145 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 194140:194312, ack 109, win 313, length 172
18:42:22.348243 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 194312:194484, ack 109, win 313, length 172
18:42:22.348334 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 194484:194656, ack 109, win 313, length 172
18:42:22.348423 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 194656:194828, ack 109, win 313, length 172
18:42:22.348514 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 194828:195000, ack 109, win 313, length 172
18:42:22.348610 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 195000:195172, ack 109, win 313, length 172
18:42:22.348814 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 195172:195344, ack 109, win 313, length 172
18:42:22.348959 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 195344:195516, ack 109, win 313, length 172
18:42:22.349079 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 195516:195688, ack 109, win 313, length 172
18:42:22.349185 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 195688:195860, ack 109, win 313, length 172
18:42:22.349278 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 195860:196032, ack 109, win 313, length 172
18:42:22.349380 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 196032:196204, ack 109, win 313, length 172
18:42:22.349476 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 196204:196376, ack 109, win 313, length 172
18:42:22.349567 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 196376:196548, ack 109, win 313, length 172
18:42:22.349662 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 196548:196720, ack 109, win 313, length 172
18:42:22.349755 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 196720:196892, ack 109, win 313, length 172
18:42:22.349845 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 196892:197064, ack 109, win 313, length 172
18:42:22.349935 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 197064:197236, ack 109, win 313, length 172
18:42:22.350086 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 197236:197408, ack 109, win 313, length 172
18:42:22.350210 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 197408:197580, ack 109, win 313, length 172
18:42:22.350309 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 197580:197752, ack 109, win 313, length 172
18:42:22.350401 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 197752:197924, ack 109, win 313, length 172
18:42:22.350498 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 197924:198096, ack 109, win 313, length 172
18:42:22.350639 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 198096:198268, ack 109, win 313, length 172
18:42:22.350794 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 198268:198440, ack 109, win 313, length 172
18:42:22.350992 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 198440:198612, ack 109, win 313, length 172
18:42:22.351160 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 198612:198784, ack 109, win 313, length 172
18:42:22.351284 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 198784:198956, ack 109, win 313, length 172
18:42:22.351401 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 198956:199128, ack 109, win 313, length 172
18:42:22.351545 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 199128:199300, ack 109, win 313, length 172
18:42:22.351666 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 199300:199472, ack 109, win 313, length 172
18:42:22.351781 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 199472:199644, ack 109, win 313, length 172
18:42:22.372297 IP 198.96.84.204.54548 > lampDropletComp3134W2020.ssh: Flags [P.], seq 109:145, ack 178796, win 4103, length 36
^C
1213 packets captured
1233 packets received by filter
20 packets dropped by kernel
